Year,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
2019,ARI,2135510,26364,28.7,28.6,101,101,0,2,7,$124016266,3:15,37,21,56%,Lovullo
2019,ATL,2655100,32779,28.0,27.5,105,103,0,3,17,$132036667,3:13,30,16,53%,Snitker
2019,BAL,1307807,16146,26.5,27.3,99,102,0,1,3,$82696100,3:07,30,11,36%,Hyde
2019,BOS,2924627,36107,27.3,29.0,105,104,0,3,11,$218978142,3:25,33,22,66%,Cora
2019,CHC,3094865,38208,27.7,31.1,102,101,0,3,16,$217805215,3:12,32,16,50%,Maddon
2019,CHW,1649775,20622,27.6,27.6,97,99,0,3,8,$80846333,3:10,28,12,42%,Renteria
2019,CIN,1808685,22329,27.9,28.2,103,103,0,2,11,$109737499,3:03,34,14,41%,Bell
2019,CLE,1738642,21465,27.8,28.3,104,102,0,4,13,$151257783,3:03,27,15,55%,Francona
2019,COL,2993244,36954,28.2,27.3,118,118,0,4,8,$145348500,3:14,38,20,52%,Black
2019,DET,1501430,18536,27.6,27.8,102,104,0,1,9,$100618500,3:02,34,14,41%,Gardenhire
2019,HOU,2857367,35276,28.9,29.9,103,100,0,6,15,$166042500,3:05,39,20,51%,Hinch
2019,KCR,1479659,18267,27.6,27.9,101,102,0,1,3,$98183242,3:03,28,23,82%,Yost
2019,LAA,3019012,37272,28.8,27.0,98,98,0,2,8,$177345250,3:15,31,17,54%,Ausmus
2019,LAD,3974309,49066,27.9,28.9,96,94,0,5,13,$193553333,3:12,37,22,59%,Roberts
2019,MIA,811302,10016,28.4,26.5,94,96,0,1,5,$74683643,3:05,43,22,51%,Mattingly
2019,MIL,2923333,36091,28.9,28.7,101,101,0,5,11,$128842900,3:16,28,16,57%,Counsell
2019,MIN,2294152,28323,27.8,28.2,100,99,0,3,9,$113758333,3:14,39,12,30%,Baldelli
2019,NYM,2442532,30155,27.9,28.6,92,92,0,3,16,$160937230,3:09,36,13,36%,Callaway
2019,NYY,3304404,40795,28.3,30.2,98,96,0,5,15,$228442421,3:11,22,15,68%,Boone
2019,OAK,1662211,20521,27.8,30.8,95,93,0,2,6,$102935833,3:07,29,12,41%,Melvin
2019,PHI,2727421,33672,27.6,28.4,102,102,0,1,12,$141786962,3:15,43,23,53%,Kapler
2019,PIT,1491439,18413,27.4,27.2,96,97,0,2,7,$71865501,3:12,36,15,41%,Hurdle and Prince
2019,SDP,2396399,29585,26.1,26.3,95,96,0,1,5,$90260767,3:07,54,25,46%,Green and Barajas
2019,SEA,1791863,22122,27.8,28.6,93,94,0,1,8,$126874600,3:08,38,18,47%,Servais
2019,SFG,2707760,33429,29.9,28.9,94,95,0,1,15,$175550753,3:07,28,15,53%,Bochy
2019,STL,3480393,42968,28.8,27.8,98,97,0,1,12,$161120267,3:10,39,16,41%,Shildt
2019,TBR,1178735,14552,27.2,27.8,97,96,0,3,6,$56071767,3:11,48,22,45%,Cash
2019,TEX,2132994,26333,28.8,28.3,111,112,0,3,9,$102533499,3:11,46,29,63%,Woodward
2019,TOR,1750144,21607,25.9,28.0,97,98,0,1,5,$64680671,3:07,39,17,43%,Montoyo
2019,WSN,2259781,27899,28.7,30.8,106,104,0,2,14,$207654033,3:12,31,15,48%,Martinez
2018,ARI,2242695,27688,29.2,29.6,105,104,0,3,11,$134850600,3:10,45,26,57%,Lovullo
2018,ATL,2555781,31553,27.4,27.7,101,101,0,4,13,$115848667,3:04,45,18,40%,Snitker
2018,BAL,1564192,19311,28.4,27.1,98,100,0,1,11,$141555833,3:01,27,15,55%,Showalter
2018,BOS,2895575,35748,27.7,28.9,104,103,0,5,16,$222205000,3:13,43,22,51%,Cora
2018,CHC,3181089,38794,27.2,30.2,104,103,0,3,14,$205373881,3:09,43,27,62%,Maddon
2018,CHW,1608817,19862,26.5,27.6,98,99,0,1,6,$75092000,3:08,40,20,50%,Renteria
2018,CIN,1629356,20116,27.2,27.1,102,103,0,3,8,$94587500,3:03,38,14,36%,Price and Riggleman
2018,CLE,1926701,23786,29.4,29.4,103,101,0,6,15,$143375233,3:03,37,16,43%,Francona
2018,COL,3015880,37233,28.7,27.9,117,117,0,3,9,$136658500,3:04,46,24,52%,Black
2018,DET,1856970,22926,27.9,28.6,103,105,0,1,9,$111531000,3:00,32,19,59%,Gardenhire
2018,HOU,2980549,36797,28.1,30.0,99,97,0,6,14,$172781200,3:04,34,14,41%,Hinch
2018,KCR,1665107,20557,28.6,27.6,100,101,0,1,6,$95199167,2:57,41,31,75%,Yost
2018,LAA,3020216,37287,29.5,27.5,98,98,0,1,7,$166849666,3:09,42,23,54%,Scioscia
2018,LAD,3857500,47043,28.1,29.2,98,96,0,3,18,$164703429,3:13,39,18,46%,Roberts
2018,MIA,811104,10014,27.5,27.6,94,95,0,1,4,$86515143,3:02,41,22,53%,Mattingly
2018,MIL,2850875,35196,28.9,28.8,102,101,0,5,14,$109295700,3:07,34,7,20%,Counsell
2018,MIN,1959197,24188,28.2,28.5,101,100,0,1,13,$110275000,3:10,45,21,46%,Molitor
2018,NYM,2224995,27469,28.4,28.0,92,92,0,1,17,$161403844,3:01,29,15,51%,Callaway
2018,NYY,3482855,42998,27.2,28.8,100,98,0,4,16,$160743032,3:11,35,26,74%,Boone
2018,OAK,1573616,19427,28.0,29.2,97,97,0,2,10,$69883333,3:05,42,21,50%,Melvin
2018,PHI,2158124,26644,26.7,26.8,102,102,0,1,8,$93874333,3:10,44,27,61%,Kapler
2018,PIT,1465316,18316,27.8,26.5,96,97,0,1,8,$88141000,3:04,48,23,47%,Hurdle
2018,SDP,2168536,26772,26.9,27.7,93,95,0,1,6,$93821067,3:00,44,19,43%,Green
2018,SEA,2299489,28389,29.8,29.0,94,95,0,4,13,$157090065,2:58,37,13,35%,Servais
2018,SFG,3156185,38965,29.8,28.6,93,94,0,2,14,$202060277,3:01,31,23,74%,Bochy
2018,STL,3403587,42020,28.1,26.7,97,96,0,2,12,$157713667,3:10,47,18,38%,Matheny and Shildt
2018,TBR,1154973,14259,27.1,27.1,97,96,0,2,9,$46011667,3:01,54,26,48%,Cash
2018,TEX,2107107,26014,27.4,30.4,110,111,0,1,9,$106099628,3:04,42,17,40%,Banister and Wakamatsu
2018,TOR,2325281,28707,29.0,29.3,98,99,0,1,11,$151670772,2:59,39,18,46%,Gibbons
2018,WSN,2529604,31230,27.5,30.2,106,105,0,2,14,$188886699,3:07,40,21,52%,Martinez
2017,ARI,2134375,26350,28.3,28.7,108,108,0,4,10,$106580200,3:09,32,16,50%,Lovullo
2017,ATL,2505252,30929,28.6,29.4,100,100,0,1,12,$119705250,3:04,47,19,40%,Snitker
2017,BAL,2028424,25042,28.6,28.2,97,99,0,1,14,$161621633,3:09,26,17,65%,Showalter
2017,BOS,2917678,36021,27.3,28.4,105,104,0,3,15,$200550750,3:20,43,16,37%,Farrell
2017,CHC,3199562,39501,27.1,30.8,103,101,0,1,16,$177210667,3:09,53,28,52%,Maddon
2017,CHW,1629470,20117,26.7,28.7,97,98,0,1,10,$97842000,3:10,35,17,48%,Renteria
2017,CIN,1836917,22678,27.2,27.6,101,103,0,2,8,$79315786,3:03,38,19,50%,Price
2017,CLE,2048138,25286,28.1,28.9,106,104,0,5,12,$114427167,3:06,32,15,46%,Francona
