Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2019,San Francisco Giants,NL West,77,85,3,,2707760,33429,7th of 15,$175550753,95,94,Oracle Park
2018,San Francisco Giants,NL West,73,89,4,,3156185,38965,3rd of 15,$202060277,94,93,AT&T Park
2017,San Francisco Giants,NL West,64,98,5,,3303652,40786,3rd of 15,$177399833,98,98,AT&T Park
2016,San Francisco Giants,NL West,87,75,2,Lost LDS (3-1),3365256,41546,3rd of 15,$177021333,96,96,AT&T Park
2015,San Francisco Giants,NL West,84,78,2,,3375882,41678,3rd of 15,$180018166,98,99,AT&T Park
2014,San Francisco Giants,NL West,88,74,2,Won WS (4-3),3368697,41589,3rd of 15,$163510167,94,95,AT&T Park
2013,San Francisco Giants,NL West,76,86,3,,3369106,41087,3rd of 15,$139845667,92,93,AT&T Park
2012,San Francisco Giants,NL West,94,68,1,Won WS (4-0),3377371,41696,2nd of 16,$117637350,89,89,AT&T Park
2011,San Francisco Giants,NL West,86,76,2,,3387303,41819,2nd of 16,$124198333,91,92,AT&T Park
2010,San Francisco Giants,NL West,92,70,1,Won WS (4-1),3037443,37499,5th of 16,$98641333,97,97,AT&T Park
2009,San Francisco Giants,NL West,88,74,3,,2862110,35335,7th of 16,$91944450,101,102,AT&T Park
2008,San Francisco Giants,NL West,72,90,4,,2863837,35356,7th of 16,$76594500,102,102,AT&T Park
2007,San Francisco Giants,NL West,71,91,5,,3223215,39793,5th of 16,$90219056,101,101,AT&T Park
2006,San Francisco Giants,NL West,76,85,3,,3130313,38646,4th of 16,$90056419,100,100,AT&T Park
2005,San Francisco Giants,NL West,75,87,3,,3181023,39272,3rd of 16,$90199500,101,101,SBC Park
2004,San Francisco Giants,NL West,91,71,2,,3256854,39718,3rd of 16,$82019166,101,101,SBC Park
2003,San Francisco Giants,NL West,100,61,1,Lost LDS (3-1),3264898,40307,1st of 16,$82852167,98,99,Pacific Bell Park
2002,San Francisco Giants,NL West,95,66,2,Lost WS (4-3),3253203,40163,1st of 16,$78299835,94,95,Pacific Bell Park
2001,San Francisco Giants,NL West,90,72,2,,3311958,40888,1st of 16,$63280167,91,93,Pacific Bell Park
2000,San Francisco Giants,NL West,97,65,1,Lost LDS (3-1),3318800,40973,2nd of 16,$53737826,92,93,Pacific Bell Park
1999,San Francisco Giants,NL West,86,76,2,,2078399,25659,10th of 16,$46798057,94,94,3Com Park
1998,San Francisco Giants,NL West,89,74,2,,1925364,23770,10th of 16,$42738334,95,95,3Com Park
1997,San Francisco Giants,NL West,90,72,1,Lost LDS (3-0),1690869,20875,11th of 14,$35592378,98,98,3Com Park
1996,San Francisco Giants,NL West,68,94,4,,1413922,17243,13th of 14,$37144725,96,95,3Com Park
1995,San Francisco Giants,NL West,67,77,4,,1241500,17243,12th of 14,$36462777,96,95,Candlestick Park
1994,San Francisco Giants,NL West,55,60,2,,1704608,28410,9th of 14,$42638666,94,94,Candlestick Park
1993,San Francisco Giants,NL West,103,59,2,,2606354,32177,8th of 14,$35159000,96,96,Candlestick Park
1992,San Francisco Giants,NL West,72,90,5,,1560998,19272,11th of 12,$33163168,95,95,Candlestick Park
1991,San Francisco Giants,NL West,75,87,4,,1737478,21450,10th of 12,$30967666,97,96,Candlestick Park
1990,San Francisco Giants,NL West,85,77,3,,1975528,24389,8th of 12,$21565333,96,96,Candlestick Park
1989,San Francisco Giants,NL West,92,70,1,Lost WS (4-0),2059701,25428,5th of 12,$15040834,96,97,Candlestick Park
1988,San Francisco Giants,NL West,83,79,4,,1785297,22041,9th of 12,$12822500,95,96,Candlestick Park
1987,San Francisco Giants,NL West,90,72,1,Lost NLCS (4-3),1917168,23669,7th of 12,$8532500,95,96,Candlestick Park
1986,San Francisco Giants,NL West,83,79,3,,1528748,18873,9th of 12,$8947000,95,95,Candlestick Park
1985,San Francisco Giants,NL West,62,100,6,,818697,10107,11th of 12,$8221714,96,95,Candlestick Park
1984,San Francisco Giants,NL West,66,96,6,,1001545,12365,11th of 12,,98,97,Candlestick Park
1983,San Francisco Giants,NL West,79,83,5,,1251530,15451,9th of 12,,98,97,Candlestick Park
1982,San Francisco Giants,NL West,87,75,3,,1200948,14827,11th of 12,,99,99,Candlestick Park
1981,San Francisco Giants,NL West,56,55,4,,632274,11930,8th of 12,,98,98,Candlestick Park
1980,San Francisco Giants,NL West,75,86,5,,1096115,13532,11th of 12,,98,97,Candlestick Park
1979,San Francisco Giants,NL West,71,91,4,,1456402,17980,9th of 12,,94,93,Candlestick Park
1978,San Francisco Giants,NL West,89,73,3,,1740477,21487,4th of 12,,96,96,Candlestick Park
1977,San Francisco Giants,NL West,75,87,4,,700056,8643,12th of 12,,100,99,Candlestick Park
1976,San Francisco Giants,NL West,74,88,4,,626868,7739,12th of 12,,103,102,Candlestick Park
1975,San Francisco Giants,NL West,80,81,3,,522919,6456,12th of 12,,105,104,Candlestick Park
1974,San Francisco Giants,NL West,72,90,5,,519987,6420,12th of 12,,105,105,Candlestick Park
1973,San Francisco Giants,NL West,88,74,3,,834193,10299,10th of 12,,105,104,Candlestick Park
1972,San Francisco Giants,NL West,69,86,5,,647744,8412,11th of 12,,101,102,Candlestick Park
1971,San Francisco Giants,NL West,90,72,1,Lost NLCS (3-1),1106043,13655,10th of 12,,99,99,Candlestick Park
1970,San Francisco Giants,NL West,86,76,3,,740720,9145,10th of 12,,99,99,Candlestick Park
1969,San Francisco Giants,NL West,90,72,2,,873603,10785,9th of 12,,98,99,Candlestick Park
1968,San Francisco Giants,NL,88,74,2,,837220,10336,7th of 10,,100,101,Candlestick Park
1967,San Francisco Giants,NL,91,71,2,,1242480,15152,6th of 10,,99,100,Candlestick Park
1966,San Francisco Giants,NL,93,68,2,,1657192,20459,5th of 10,,103,104,Candlestick Park
1965,San Francisco Giants,NL,95,67,2,,1546075,19087,4th of 10,,102,103,Candlestick Park
1964,San Francisco Giants,NL,90,72,4,,1504364,18572,3rd of 10,,100,102,Candlestick Park
1963,San Francisco Giants,NL,88,74,3,,1571306,19399,2nd of 10,,97,99,Candlestick Park
1962,San Francisco Giants,NL,103,62,1,Lost WS (4-3),1592594,19422,2nd of 10,,97,99,Candlestick Park
1961,San Francisco Giants,NL,85,69,3,,1390679,18061,2nd of 8,,94,96,Candlestick Park
1960,San Francisco Giants,NL,79,75,5,,1795356,23316,2nd of 8,,93,94,Candlestick Park
1959,San Francisco Giants,NL,83,71,3,,1422130,18469,3rd of 8,,96,97,Seals Stadium
1958,San Francisco Giants,NL,80,74,3,,1272625,16528,4th of 8,,97,98,Seals Stadium
1957,New York Giants,NL,69,85,6,,653923,8493,8th of 8,,101,100,Polo Grounds V
1956,New York Giants,NL,67,87,6,,629179,8171,8th of 8,,100,99,Polo Grounds V
1955,New York Giants,NL,80,74,3,,824112,10432,6th of 8,,101,101,Polo Grounds V
1954,New York Giants,NL,97,57,1,Won WS (4-0),1155067,15198,2nd of 8,,100,101,Polo Grounds V
1953,New York Giants,NL,70,84,5,,811518,10539,5th of 8,,101,103,Polo Grounds V
1952,New York Giants,NL,92,62,2,,984940,12791,3rd of 8,,99,101,Polo Grounds V
1951,New York Giants,NL,98,59,1,Lost WS (4-2),1059539,13584,2nd of 8,,99,101,Polo Grounds V
1950,New York Giants,NL,86,68,3,,1008878,13275,6th of 8,,99,101,Polo Grounds V
1949,New York Giants,NL,73,81,5,,1218446,15423,4th of 8,,99,100,Polo Grounds V
1948,New York Giants,NL,78,76,5,,1459269,18952,3rd of 8,,100,101,Polo Grounds V
1947,New York Giants,NL,81,73,4,,1600793,21063,2nd of 8,,100,101,Polo Grounds V
1946,New York Giants,NL,61,93,8,,1219873,15843,3rd of 8,,101,100,Polo Grounds V
1945,New York Giants,NL,78,74,5,,1016468,13032,3rd of 8,,102,101,Polo Grounds V
1944,New York Giants,NL,67,87,5,,674483,8993,1st of 8,,101,99,Polo Grounds V
1943,New York Giants,NL,55,98,8,,466095,6053,5th of 8,,101,100,Polo Grounds V
1942,New York Giants,NL,85,67,3,,779621,9869,2nd of 8,,101,101,Polo Grounds V
1941,New York Giants,NL,74,79,5,,763098,9783,2nd of 8,,102,102,Polo Grounds V
1940,New York Giants,NL,72,80,6,,747852,9840,3rd of 8,,101,101,Polo Grounds V
1939,New York Giants,NL,77,74,5,,702457,9493,3rd of 8,,101,101,Polo Grounds V
1938,New York Giants,NL,83,67,3,,799633,10954,2nd of 8,,100,101,Polo Grounds V
1937,New York Giants,NL,95,57,1,Lost WS (4-1),926887,12358,1st of 8,,99,101,Polo Grounds V
1936,New York Giants,NL,92,62,1,Lost WS (4-2),837952,10743,1st of 8,,97,100,Polo Grounds V
1935,New York Giants,NL,91,62,3,,748748,9478,1st of 8,,96,99,Polo Grounds V
1934,New York Giants,NL,93,60,2,,730851,9745,1st of 8,,95,98,Polo Grounds V
1933,New York Giants,NL,91,61,1,Won WS (4-1),604471,7850,1st of 8,,96,99,Polo Grounds V
1932,New York Giants,NL,72,82,6,,484868,6297,4th of 8,,96,98,Polo Grounds V
1931,New York Giants,NL,87,65,2,,812163,10412,2nd of 8,,95,98,Polo Grounds V
1930,New York Giants,NL,87,67,3,,868714,11282,3rd of 8,,95,98,Polo Grounds V
1929,New York Giants,NL,84,67,3,,868806,11283,2nd of 8,,97,100,Polo Grounds V
1928,New York Giants,NL,93,61,2,,916191,11899,2nd of 8,,97,100,Polo Grounds V
1927,New York Giants,NL,92,62,3,,858190,11597,2nd of 8,,99,100,Polo Grounds V
1926,New York Giants,NL,74,77,5,,700362,9215,3rd of 8,,97,98,Polo Grounds V
1925,New York Giants,NL,86,66,2,,778993,10250,2nd of 8,,95,96,Polo Grounds V
1924,New York Giants,NL,93,60,1,Lost WS (4-3),844068,10962,1st of 8,,95,98,Polo Grounds V
1923,New York Giants,NL,95,58,1,Lost WS (4-2),820780,10659,1st of 8,,96,100,Polo Grounds V
1922,New York Giants,NL,93,61,1,Won WS (4-0-1),945809,11972,1st of 8,,98,102,Polo Grounds V
1921,New York Giants,NL,94,59,1,Won WS (5-3),973477,12322,1st of 8,,98,101,Polo Grounds V
1920,New York Giants,NL,86,68,2,,929609,11620,1st of 8,,96,100,Polo Grounds V
1919,New York Giants,NL,87,53,2,,708857,10273,1st of 8,,97,100,Polo Grounds V
1918,New York Giants,NL,71,53,2,,256618,4582,1st of 8,,96,99,Polo Grounds V
1917,New York Giants,NL,98,56,1,Lost WS (4-2),500264,6253,1st of 8,,94,97,Polo Grounds V
1916,New York Giants,NL,86,66,4,,552056,7078,1st of 8,,93,94,Polo Grounds V
1915,New York Giants,NL,69,83,8,,391850,5156,2nd of 8,,94,96,Polo Grounds V
1914,New York Giants,NL,84,70,2,,364313,4554,2nd of 8,,95,96,Polo Grounds V
1913,New York Giants,NL,101,51,1,Lost WS (4-1),630000,7778,1st of 8,,98,102,Polo Grounds V
1912,New York Giants,NL,103,48,1,Lost WS (4-3-1),638000,8395,1st of 8,,100,104,Polo Grounds V
1911,New York Giants,NL,99,54,1,Lost WS (4-2),675000,9000,1st of 8,,98,103,Polo Grounds IV Hilltop Park Polo Grounds V
1910,New York Giants,NL,91,63,2,,511785,6478,2nd of 8,,99,101,Polo Grounds IV
1909,New York Giants,NL,92,61,3,,783700,10178,1st of 8,,99,102,Polo Grounds IV
1908,New York Giants,NL,98,56,2,,910000,11375,1st of 8,,103,106,Polo Grounds IV
1907,New York Giants,NL,82,71,4,,538350,6992,1st of 8,,100,103,Polo Grounds IV
1906,New York Giants,NL,96,56,2,,402850,5371,2nd of 8,,99,102,Polo Grounds IV
1905,New York Giants,NL,105,48,1,Won WS (4-1),552700,7272,1st of 8,,98,102,Polo Grounds IV
1904,New York Giants,NL,106,47,1,,609826,7260,1st of 8,,99,104,Polo Grounds IV
1903,New York Giants,NL,84,55,2,,579530,8279,1st of 8,,103,104,Polo Grounds IV
1902,New York Giants,NL,48,88,8,,302875,4266,1st of 8,,100,98,Polo Grounds IV
