Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,NYM,@,WSN,W,2,0,,1-0,1,Tied,deGrom,Scherzer,Diaz,2:44,D,42263,+,
2,Saturday Mar 30,boxscore,NYM,@,WSN,W,11,8,,2-0,1,Tied,Wilson,Rosenthal,Diaz,3:50,D,33765,++,
3,Sunday Mar 31,boxscore,NYM,@,WSN,L-wo,5,6,,2-1,2,1.0,Doolittle,Wilson,,3:15,D,23430,-,
4,Monday Apr 1,boxscore,NYM,@,MIA,W,7,3,,3-1,2,0.5,Familia,Steckenrider,,3:10,N,6489,+,
5,Tuesday Apr 2,boxscore,NYM,@,MIA,W,6,5,,4-1,2,0.5,Vargas,Urena,Wilson,3:23,N,5934,++,
6,Wednesday Apr 3,boxscore,NYM,@,MIA,W,6,4,,5-1,1,up 0.5,deGrom,Richards,Diaz,3:07,N,7486,+++,
7,Thursday Apr 4,boxscore,NYM,,WSN,L,0,4,,5-2,1,Tied,Strasburg,Syndergaard,,3:19,D,44424,-,
8,Saturday Apr 6,boxscore,NYM,,WSN,W,6,5,,6-2,1,up 0.5,Familia,Sipp,Diaz,3:13,D,35156,+,
9,Sunday Apr 7,boxscore,NYM,,WSN,L,9,12,,6-3,2,0.5,Scherzer,Wheeler,,3:42,D,40681,-,
10,Tuesday Apr 9,boxscore,NYM,,MIN,L,8,14,,6-4,3,1.0,Hildenberger,deGrom,,4:08,N,22126,--,
11,Wednesday Apr 10,boxscore,NYM,,MIN,W,9,6,,7-4,1,Tied,Syndergaard,Odorizzi,,3:15,N,20946,+,
12,Thursday Apr 11,boxscore,NYM,@,ATL,W,6,3,,8-4,1,up 0.5,Matz,Gausman,Diaz,3:14,N,24015,++,
13,Friday Apr 12,boxscore,NYM,@,ATL,W,6,2,,9-4,1,up 0.5,Wheeler,Wright,,3:07,N,33334,+++,
14,Saturday Apr 13,boxscore,NYM,@,ATL,L,7,11,,9-5,1,up 0.5,Toussaint,Oswalt,,3:34,N,40117,-,
15,Sunday Apr 14,boxscore,NYM,@,ATL,L,3,7,,9-6,2,0.5,Teheran,deGrom,,3:36,N,23385,--,
16,Monday Apr 15,boxscore,NYM,@,PHI,W,7,6,11,10-6,1,up 0.5,Avilan,Neshek,Diaz,4:29,N,32423,+,
17,Tuesday Apr 16,boxscore,NYM,@,PHI,L,3,14,,10-7,2,0.5,Pivetta,Matz,Eickhoff,3:07,N,43933,-,
18,Wednesday Apr 17,boxscore,NYM,@,PHI,L,2,3,,10-8,2,1.5,Arrieta,Wheeler,Neris,2:52,D,39861,--,
19,Friday Apr 19,boxscore,NYM,@,STL,W,5,4,,11-8,1,Tied,Lugo,Wainwright,Diaz,3:31,N,40413,+,
20,Saturday Apr 20,boxscore,NYM,@,STL,L,2,10,,11-9,2,1.0,Mikolas,Flexen,,2:45,D,47059,-,
21,Sunday Apr 21,boxscore,NYM,@,STL,L,4,6,,11-10,2,1.0,Hudson,Syndergaard,Hicks,3:07,D,42765,--,
22,Monday Apr 22,boxscore,NYM,,PHI,W,5,1,,12-10,1,Tied,Matz,Arrieta,,2:46,N,25293,+,
23,Tuesday Apr 23,boxscore,NYM,,PHI,W,9,0,,13-10,1,up 1.0,Wheeler,Eflin,,2:43,N,26049,++,
24,Wednesday Apr 24,boxscore,NYM,,PHI,L,0,6,,13-11,1,Tied,Velasquez,Vargas,,3:21,N,27685,-,
25,Friday Apr 26,boxscore,NYM,,MIL,L,2,10,,13-12,2,0.5,Albers,deGrom,,3:20,N,28131,--,
26,Saturday Apr 27,boxscore,NYM,,MIL,L,6,8,,13-13,2,1.5,Woodruff,Syndergaard,Hader,3:57,N,40610,---,
27,Sunday Apr 28,boxscore,NYM,,MIL,W,5,2,,14-13,2,1.5,Matz,Barnes,Diaz,2:52,D,25756,+,
28,Monday Apr 29,boxscore,NYM,,CIN,L,4,5,,14-14,2,2.0,Iglesias,Diaz,,3:15,N,20766,-,
29,Tuesday Apr 30,boxscore,NYM,,CIN,W-wo,4,3,10,15-14,2,1.0,Gagnon,Iglesias,,3:24,N,20836,+,
30,Wednesday May 1,boxscore,NYM,,CIN,L,0,1,,15-15,2,2.0,Duke,Diaz,Lorenzen,2:46,N,22119,-,
31,Thursday May 2,boxscore,NYM,,CIN,W,1,0,,16-15,2,1.5,Syndergaard,Mahle,,2:10,D,21445,+,
32,Friday May 3,boxscore,NYM,@,MIL,L,1,3,,16-16,2,2.5,Woodruff,Matz,Hader,3:01,N,32550,-,
33,Saturday May 4,boxscore,NYM,@,MIL,L-wo,3,4,18,16-17,3,2.5,Williams,Flexen,,5:22,N,39565,--,
34,Sunday May 5,boxscore,NYM,@,MIL,L,2,3,,16-18,3,3.5,Davies,Vargas,Hader,2:39,D,36016,---,
35,Monday May 6,boxscore,NYM,@,SDP,L,0,4,,16-19,3,3.5,Paddack,deGrom,Stammen,2:14,N,20176,----,
36,Tuesday May 7,boxscore,NYM,@,SDP,W,7,6,,17-19,3,3.5,Lugo,Warren,Diaz,3:38,N,23129,+,
37,Wednesday May 8,boxscore,NYM,@,SDP,L,2,3,,17-20,3,4.5,Reyes,Bashlor,Yates,2:44,D,21952,-,
