"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2019-04-20","91.4","-1.8153","5.4440","Jose Ramirez",608070,657053,"single","hit_into_play_no_out",,,,,8,"Indians challenged (tag play), call on the field was overturned: Jose Ramirez singles on a line drive to center fielder Ender Inciarte.   Leonys Martin to 3rd.    Jose Ramirez to 2nd.  ","R","L","R","CLE","ATL","X",8,"line_drive",1,0,2019,"-1.3229","0.3979","-0.0747","2.0178","null","null",547982,1,1,"Bot","115.53","107.97",,,452095,,"190421_001357","7.3590","-133.0147","-3.7114","-17.5106","25.9386","-26.7873","3.3500","1.5700","221","72.0","21","92.6620","2154","6.8320",565322,657053,452095,518692,645277,622666,621020,660670,542255,455976,"53.6675","0.974","0.888","0.90",1,1,0,4,7,"2","Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"SI","2019-04-24","93.3","-2.1447","5.9969","Jose Ramirez",608070,645261,"home_run","hit_into_play_score",,,,,5,"Jose Ramirez homers (2) on a fly ball to right field.  ","R","L","R","CLE","MIA","X","null","fly_ball",0,0,2019,"-1.3587","0.9046","0.1253","2.6950","null","null","null",2,1,"Bot","228.95","69.25",,,595751,,"190424_171958","8.6070","-135.5212","-4.6379","-18.1205","26.5883","-20.5511","3.2989","1.5766","389","107.2","24","92.3600","2230","5.6000",565326,645261,595751,435522,516770,542932,500743,434158,543194,605119,"54.8997","0.968","1.886","2.00",1,0,3,6,6,"1","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"FT","2019-06-24","91.1","2.0462","6.3270","Jose Ramirez",608070,543169,"double","hit_into_play_score",,,,,8,"Jose Ramirez doubles (14) on a line drive to left fielder Alex Gordon.   Carlos Santana scores.  ","R","R","L","CLE","KC","X",7,"line_drive",0,0,2019,"1.1768","0.5796","-0.0619","1.9607","null",467793,"null",1,4,"Bot","39.21","115.55",,,455117,,"190625_022141","-7.9676","-132.4760","-6.4405","15.8002","26.2643","-24.0640","3.3100","1.5500","219","89.5","13","92.4030","2259","6.9430",565356,543169,455117,596144,670032,641531,600858,460086,571740,593160,"53.5566","0.934","0.862","1.25",1,1,1,4,27,"1","2-Seam Fastball",0,1,0,1,1,0,0,1,"Strategic","Standard"
"SL","2019-05-16","83.5","-2.8050","5.9879","Jose Ramirez",608070,573185,"single","hit_into_play_score",,,,,9,"Jose Ramirez singles on a line drive to right fielder Trey Mancini.   Carlos Santana scores.    Carlos Gonzalez to 3rd.  ","R","L","R","CLE","BAL","X",9,"line_drive",3,2,2019,"0.4140","0.1090","0.7160","1.7616","null",467793,471865,1,3,"Bot","171.28","119.71",,,600474,,"190516_232449","7.2469","-121.3678","-3.4826","2.6559","23.1918","-30.6741","3.2847","1.5500","209","68.3","23","82.9730","2354","5.9480",565334,573185,600474,448801,593643,547004,542340,596105,592859,641820,"54.5512","0.926","0.843","0.90",1,1,0,4,28,"6","Slider",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2019-06-09","97.3","0.6563","6.2399","Jose Ramirez",608070,547973,"single","hit_into_play_no_out",,,,,6,"Jose Ramirez singles on a sharp line drive to left fielder Brett Gardner.  ","R","R","L","CLE","NYY","X",7,"line_drive",0,1,2019,"0.2694","1.4177","0.4648","2.0810","null","null","null",0,9,"Bot","73.08","99.03",,,596142,,"190609_202851","-1.1330","-141.5636","-8.9652","3.8865","27.9935","-11.3096","3.1476","1.5559","212","104.8","11","97.9970","2394","6.3930",565350,547973,596142,518934,650402,570482,544369,458731,543305,457727,"54.1067","0.918","0.908","0.90",1,1,0,4,76,"2","4-Seam Fastball",5,6,5,6,6,5,5,6,"Standard","Standard"
"CH","2019-04-16","84.1","-2.9739","4.9922","Jose Ramirez",608070,502190,"single","hit_into_play_no_out",,,,,11,"Jose Ramirez singles on a line drive to left fielder Domingo Santana.  ","R","L","R","SEA","CLE","X",7,"line_drive",3,2,2019,"-1.1439","-0.0475","-1.1459","2.4733","null","null","null",1,4,"Top","65.16","99.98",,,608596,,"190417_030614","6.3707","-122.1843","0.6245","-12.4497","23.2442","-32.9974","3.3300","1.5500","239","80.9","19","83.2320","1640","5.7240",566382,502190,608596,457803,543829,592387,542921,570267,605480,571745,"54.7753","0.910","0.846","0.90",1,1,0,4,24,"7","Changeup",1,0,0,1,0,1,0,1,"Infield shift","Strategic"
"FF","2019-06-15","86.8","2.5644","6.1697","Jose Ramirez",608070,598286,"single","hit_into_play_no_out",,,,,2,"Jose Ramirez singles on a line drive to left fielder Christin Stewart.  ","R","R","L","DET","CLE","X",7,"line_drive",0,0,2019,"0.6851","1.4684","-0.0349","2.9276","null","null","null",0,7,"Top","67.84","102.65",,,543308,,"190615_235853","-7.4078","-125.9732","-4.3740","8.4856","24.1288","-16.4421","3.1800","1.4900","237","96.0","13","85.2660","2386","5.3160",565545,598286,543308,641525,500135,608475,592348,621514,605612,592206,"55.1834","0.908","0.873","0.90",1,1,0,4,51,"1","4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard"
"FF","2019-04-14","91.2","-1.7888","5.6942","Jose Ramirez",608070,596001,"field_out","hit_into_play",,,,,8,"Jose Ramirez lines out to third baseman Hunter Dozier.  ","R","L","R","KC","CLE","X",5,"line_drive",0,1,2019,"-0.9031","1.3859","-0.1081","1.8370","null","null","null",0,5,"Top","137.25","135.46",,,595956,,"190414_195256","6.1025","-132.6796","-6.8001","-11.7533","23.3833","-14.7813","3.4110","1.5650","199","92.5","12","91.3730","2318","6.0160",565713,596001,595956,656811,593160,641531,609275,460086,572008,624585,"54.4839","0.905","0.846","0.00",1,0,0,4,42,"2","4-Seam Fastball",6,5,5,6,5,6,5,6,"Infield shift","Strategic"
"FC","2019-04-28","89.5","1.3058","6.4796","Jose Ramirez",608070,489119,"single","hit_into_play_no_out",,,,,1,"Jose Ramirez singles on a line drive to left fielder Tony Kemp.   Roberto Perez to 3rd.    Jake Bauers to 2nd.  ","R","R","L","HOU","CLE","X",7,"line_drive",1,1,2019,"-0.3012","0.4133","-0.7364","3.0171","null",547379,641343,2,5,"Top","72.96","102.93",,,455139,,"190429_002347","-4.3735","-130.2552","-3.4208","-2.5550","24.5907","-27.1100","3.3900","1.6100","232","94.0","14","88.9870","2339","5.7370",565618,489119,455139,493329,514888,608324,621043,643393,543807,502210,"54.7622","0.900","0.847","0.90",1,1,0,4,34,"3","Cutter",0,1,1,0,1,0,1,0,"Standard","Strategic"
"CH","2019-05-01","82.8","2.1882","6.1453","Jose Ramirez",608070,592761,"single","hit_into_play_no_out",,,,,12,"Jose Ramirez singles on a line drive to right fielder Brian Anderson.  ","R","R","L","MIA","CLE","X",9,"line_drive",0,2,2019,"1.4164","0.8700","1.0430","2.8675","null","null","null",1,4,"Top","191.56","83.75",,,595751,,"190501_235730","-5.1978","-120.2931","-2.5909","14.3503","22.9457","-23.7301","3.4200","1.6300","244","99.1","11","81.5280","1915","5.4800",567376,592761,595751,445988,516770,542932,500743,434158,594011,605119,"55.0193","0.897","0.863","0.90",1,1,0,4,25,"4","Changeup",1,1,1,1,1,1,1,1,"Infield shift","Strategic"
